family;Genus;Sci_name;Sci_name_simp;author;CN_1;CN_2;SP
弄蝶科 Hesperiidae Latreille, 1809;傘弄蝶屬 Burara Swinhoe, 1893;Burara jaina formosana Fruhstorfer, 1911;Burara jaina formosana;Fruhstorfer, 1911;橙翅傘弄蝶;鸞褐弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;絨弄蝶屬 Hasora Moore, 1881;Hasora badra badra Moore, 1858;Hasora badra badra;Moore, 1858;鐵色絨弄蝶;鐵色絨毛弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;絨弄蝶屬 Hasora Moore, 1881;Hasora chromus chromus Cramer, 1780;Hasora chromus chromus;Cramer, 1780;尖翅絨弄蝶;沖繩絨毛弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;絨弄蝶屬 Hasora Moore, 1881;Hasora anura taiwana Hsu, Chiba & Tsukiyama, 2005;Hasora anura taiwana;Hsu, Chiba & Tsukiyama, 2005;無尾絨弄蝶;無尾絨毛弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;絨弄蝶屬 Hasora Moore, 1881;Hasora taminatus vairacana Fruhstorfer, 1911;Hasora taminatus vairacana;Fruhstorfer, 1911;圓翅絨弄蝶;台灣絨毛弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;絨弄蝶屬 Hasora Moore, 1881;Hasora mixta limatus Hsu & Huang, 2008;Hasora mixta limatus;Hsu & Huang, 2008;南風絨弄蝶;;
弄蝶科 Hesperiidae Latreille, 1809;長翅弄蝶屬 Badamia Moore, 1881;Badamia exclamationis Fabricius, 1775;Badamia exclamationis;Fabricius, 1775;長翅弄蝶;淡綠弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;綠弄蝶屬 Choaspes Moore, 1881;Choaspes benjaminii formosanus Fruhstorfer, 1911;Choaspes benjaminii formosanus;Fruhstorfer, 1911;綠弄蝶;大綠弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;綠弄蝶屬 Choaspes Moore, 1881;Choaspes xanthopogon chrysopterus Hsu, 1988;Choaspes xanthopogon chrysopterus;Hsu, 1988;褐翅綠弄蝶;褐翅綠弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;珠弄蝶屬 Erynnis Schrank, 1801;Erynnis montanus neomontanus Murayama & Yoshisaka, 1959 ;Erynnis montanus neomontanus;Murayama & Yoshisaka, 1959 ;深山珠弄蝶;深山弄蝶;疑問種
弄蝶科 Hesperiidae Latreille, 1809;帶弄蝶屬 Lobocla Moore, 1884;Lobocla bifasciata kodairai  Sonan, 1936;Lobocla bifasciata kodairai;Sonan, 1936;雙帶弄蝶;白紋弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;星弄蝶屬 Celaenorrhinus Hübner, 1819;Celaenorrhinus pulomaya formosanus Fruhstorfer, 1909;Celaenorrhinus pulomaya formosanus;Fruhstorfer, 1909;尖翅星弄蝶;蓬萊黃紋弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;星弄蝶屬 Celaenorrhinus Hübner, 1819;Celaenorrhinus kurosawai Shirôzu, 1960 ;Celaenorrhinus kurosawai;Shirôzu, 1960 ;黑澤星弄蝶;姬黃紋弄蝶;特有種
弄蝶科 Hesperiidae Latreille, 1809;星弄蝶屬 Celaenorrhinus Hübner, 1819;Celaenorrhinus ratna Fruhstorfer, 1909;Celaenorrhinus ratna;Fruhstorfer, 1909;小星弄蝶;白鬚黃紋弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;星弄蝶屬 Celaenorrhinus Hübner, 1819;Celaenorrhinus chihhsiaoi Hsu, 1990;Celaenorrhinus chihhsiaoi;Hsu, 1990;魑魅星弄蝶;魑魅黃紋弄蝶;特有種
弄蝶科 Hesperiidae Latreille, 1809;星弄蝶屬 Celaenorrhinus Hübner, 1819;Celaenorrhinus horishanus Shirôzu, 1960 ;Celaenorrhinus horishanus;Shirôzu, 1960 ;埔里星弄蝶;埔里黃紋弄蝶;特有種
弄蝶科 Hesperiidae Latreille, 1809;星弄蝶屬 Celaenorrhinus Hübner, 1819;Celaenorrhinus major Hsu, 1990 ;Celaenorrhinus major;Hsu, 1990 ;台灣流星弄蝶;華西黃紋弄蝶;特有種
弄蝶科 Hesperiidae Latreille, 1809;星弄蝶屬 Celaenorrhinus Hübner, 1819;Celaenorrhinus maculosus taiwanus Matsumura, 1919;Celaenorrhinus maculosus taiwanus;Matsumura, 1919;大流星弄蝶;大型黃紋弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;襟弄蝶屬 Pseudocoladenia Shirôzu & Saigusa, 1962;Pseudocoladenia dan sadakoe Sonan & Mitono, 1936;Pseudocoladenia dan sadakoe;Sonan & Mitono, 1936;黃襟弄蝶;八仙山弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;窗弄蝶屬 Coladenia Moore, 1881;Coladenia pinsbukana Shimonoya & Murayama, 1976 ;Coladenia pinsbukana;Shimonoya & Murayama, 1976 ;台灣窗弄蝶;黃後翅弄蝶;特有種
弄蝶科 Hesperiidae Latreille, 1809;颯弄蝶屬 Satarupa Moore, 1866;Satarupa majasra Fruhstorfer, 1909 ;Satarupa majasra;Fruhstorfer, 1909 ;小紋颯弄蝶;大白裙弄蝶;特有種
弄蝶科 Hesperiidae Latreille, 1809;颯弄蝶屬 Satarupa Moore, 1866;Satarupa formosibia Strand, 1927 ;Satarupa formosibia;Strand, 1927 ;台灣颯弄蝶;台灣大白裙弄蝶;特有種
弄蝶科 Hesperiidae Latreille, 1809;瑟弄蝶屬 Seseria Matsumura, 1919;Seseria formosana Fruhstorfer, 1909 ;Seseria formosana;Fruhstorfer, 1909 ;台灣瑟弄蝶;大黑星弄蝶;特有種
弄蝶科 Hesperiidae Latreille, 1809;裙弄蝶屬 Tagiades Hübner, 1819;Tagiades cohaerens Mabille, 1914;Tagiades cohaerens;Mabille, 1914;白裙弄蝶;白裙弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;裙弄蝶屬 Tagiades Hübner, 1819;Tagiades trebellius martinus Plötz, 1884;Tagiades trebellius martinus;Plötz, 1884;熱帶白裙弄蝶;蘭嶼白裙弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;玉帶弄蝶屬 Daimio Murray, 1875;Daimio tethys moori Mabille, 1876;Daimio tethys moori;Mabille, 1876;玉帶弄蝶;玉帶弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;白弄蝶屬 Abraximorpha Elwes & Edwards, 1897;Abraximorpha davidii ermasis Fruhstorfer, 1914;Abraximorpha davidii ermasis;Fruhstorfer, 1914;白弄蝶;白弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;白弄蝶屬 Abraximorpha Elwes & Edwards, 1897;Pelopidas mathias oberthueri Evans, 1937;Pelopidas mathias oberthueri;Evans, 1937;褐弄蝶;褐弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;白弄蝶屬 Abraximorpha Elwes & Edwards, 1897;Pelopidas agna Moore, 1866;Pelopidas agna;Moore, 1866;尖翅褐弄蝶;尖翅褐弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;白弄蝶屬 Abraximorpha Elwes & Edwards, 1897;Pelopidas sinensis Mabille, 1877;Pelopidas sinensis;Mabille, 1877;中華褐弄蝶;中華褐弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;白弄蝶屬 Abraximorpha Elwes & Edwards, 1897;Pelopidas conjuncta Herrich - Schäffer, 1869;Pelopidas conjuncta;Herrich - Schäffer, 1869;巨褐弄蝶;台灣大褐弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;孔弄蝶屬 Polytremis Mabille, 1904;Polytremis lubricans kuyaniana Matsumura, 1919;Polytremis lubricans kuyaniana;Matsumura, 1919;黃紋孔弄蝶;黃紋褐弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;孔弄蝶屬 Polytremis Mabille, 1904;Polytremis eltola tappana Matsumura, 1919;Polytremis eltola tappana;Matsumura, 1919;碎紋孔弄蝶;達邦褐弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;孔弄蝶屬 Polytremis Mabille, 1904;Polytremis theca Evans, 1937 ;Polytremis theca;Evans, 1937 ;短紋孔弄蝶;大褐弄蝶;疑問種
弄蝶科 Hesperiidae Latreille, 1809;孔弄蝶屬 Polytremis Mabille, 1904;Polytremis zina taiwana Murayama, 1981;Polytremis zina taiwana;Murayama, 1981;長紋孔弄蝶;;
弄蝶科 Hesperiidae Latreille, 1809;孔弄蝶屬 Polytremis Mabille, 1904;Polytremis kiraizana Sonan, 1938 ;Polytremis kiraizana;Sonan, 1938 ;奇萊孔弄蝶;奇萊褐弄蝶;特有種
弄蝶科 Hesperiidae Latreille, 1809;黯弄蝶屬 Caltoris Swinhoe, 1893;Caltoris cahira austeni Moore, 1883;Caltoris cahira austeni;Moore, 1883;黯弄蝶;黑紋弄蝶;
弄蝶科 Hesperiidae Latreille, 1809;黯弄蝶屬 Caltoris Swinhoe, 1893;Caltoris bromus yanuca Fruhstorfer, 1911;Caltoris bromus yanuca;Fruhstorfer, 1911;變紋黯弄蝶;無紋弄蝶;
鳳蝶科 Papilionidae Latreille, 1802;虎鳳蝶屬 Luehdorfia Crüger, 1878;Luehdorfia japonica formosana Rothschild, 1918 ;Luehdorfia japonica formosana;Rothschild, 1918 ;日本虎鳳蝶;花鳳蝶;疑問種
鳳蝶科 Papilionidae Latreille, 1802;裳鳳蝶屬 Troides Hübner, 1819;Troides aeacus formosanus Rothschild, 1899;Troides aeacus formosanus;Rothschild, 1899;黃裳鳳蝶;黃裳鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;裳鳳蝶屬 Troides Hübner, 1819;Troides magellanus sonani Matsumura, 1932;Troides magellanus sonani;Matsumura, 1932;珠光裳鳳蝶;珠光鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;裳鳳蝶屬 Troides Hübner, 1819;Troides plateni Staudinger, 1889 ;Troides plateni;Staudinger, 1889 ;巴拉望裳鳳蝶;蒲氏黃裳鳳蝶;偶產種
鳳蝶科 Papilionidae Latreille, 1802;曙鳳蝶屬 Atrophaneura Reakirt, 1865;Atrophaneura horishana Matsumura, 1910 ;Atrophaneura horishana;Matsumura, 1910 ;曙鳳蝶;曙鳳蝶;特有種
鳳蝶科 Papilionidae Latreille, 1802;曙鳳蝶屬 Atrophaneura Reakirt, 1865;Atrophaneura semperi C. & R. Felder, 1861 ;Atrophaneura semperi;C. & R. Felder, 1861 ;菲律賓曙鳳蝶;白背曙鳳蝶;偶產種
鳳蝶科 Papilionidae Latreille, 1802;麝鳳蝶屬 Byasa Moore, 1882;Byasa polyeuctes termessus Fruhstorfer, 1842;Byasa polyeuctes termessus;Fruhstorfer, 1842;多姿麝鳳蝶;大紅紋鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;麝鳳蝶屬 Byasa Moore, 1882;Byasa impediens febanus Fruhstorfer, 1908;Byasa impediens febanus;Fruhstorfer, 1908;長尾麝鳳蝶;台灣麝香鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;麝鳳蝶屬 Byasa Moore, 1882;Byasa alcinous mansonensis Fruhstorfer, 1901;Byasa alcinous mansonensis;Fruhstorfer, 1901;麝鳳蝶;麝香鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;珠鳳蝶屬 Pachliopta Reakirt, 1865;Pachliopta aristolochiae interposita Fruhstorfer, 1901;Pachliopta aristolochiae interposita;Fruhstorfer, 1901;紅珠鳳蝶;紅紋鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;劍鳳蝶屬 Pazala Moore, 1888;Pazala eurous asakurae Matsumura, 1908;Pazala eurous asakurae;Matsumura, 1908;劍鳳蝶;升天鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;劍鳳蝶屬 Pazala Moore, 1888;Pazala timur chungianus Murayama, 1961;Pazala timur chungianus;Murayama, 1961;黑尾劍鳳蝶;木生鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;青鳳蝶屬 Graphium Scopoli, 1777;Graphium sarpedon connectens Fruhstorfer, 1906;Graphium sarpedon connectens;Fruhstorfer, 1906;青鳳蝶;青帶鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;青鳳蝶屬 Graphium Scopoli, 1777;Graphium cloanthus kuge Fruhstorfer, 1931;Graphium cloanthus kuge;Fruhstorfer, 1931;寬帶青鳳蝶;寬青帶鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;青鳳蝶屬 Graphium Scopoli, 1777;Graphium doson postianus Fruhstorfer, 1908;Graphium doson postianus;Fruhstorfer, 1908;木蘭青鳳蝶;青斑鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;青鳳蝶屬 Graphium Scopoli, 1777;Graphium agamemnon Linnaeus, 1758;Graphium agamemnon;Linnaeus, 1758;翠斑青鳳蝶;綠斑鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;斑鳳蝶屬 Chilasa Moore, 1881;Chilasa agestor matsumurae Fruhstorfer, 1908;Chilasa agestor matsumurae;Fruhstorfer, 1908;斑鳳蝶;斑鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;斑鳳蝶屬 Chilasa Moore, 1881;Chilasa epycides melanoleucus Ney, 1911;Chilasa epycides melanoleucus;Ney, 1911;黃星斑鳳蝶;黃星鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;斑鳳蝶屬 Chilasa Moore, 1881;Chilasa clytia Linnaeus, 1758 ;Chilasa clytia;Linnaeus, 1758 ;大斑鳳蝶;黃邊鳳蝶;偶產種
鳳蝶科 Papilionidae Latreille, 1802;寬尾鳳蝶屬 Agehana Matsumura, 1936;Agehana maraho Shiraki & Sonan, 1934 ;Agehana maraho;Shiraki & Sonan, 1934 ;台灣寬尾鳳蝶;寬尾鳳蝶;特有種
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio demoleus Linnaeus, 1758;Papilio demoleus;Linnaeus, 1758;花鳳蝶;無尾鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio machoan sylvina Hemming, 1933;Papilio machoan sylvina;Hemming, 1933;黃鳳蝶;黃鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio xuthus Linnaeus, 1767;Papilio xuthus;Linnaeus, 1767;柑橘鳳蝶;柑橘鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio polytes polytes Linnaeus, 1758;Papilio polytes polytes;Linnaeus, 1758;玉帶鳳蝶;玉帶鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio polytes ledebouria Eschscholtz, 1821 ;Papilio polytes ledebouria;Eschscholtz, 1821 ;玉帶鳳蝶(菲亞);玉帶鳳蝶(無尾型);偶產種
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio protenor protenor Cramer, 1775;Papilio protenor protenor;Cramer, 1775;黑鳳蝶;黑鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio protenor liukiuensis Fruhstorfer, 1899 ;Papilio protenor liukiuensis;Fruhstorfer, 1899 ;黑鳳蝶(沖繩八重山亞種);;偶產種
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio helenus fortunius Fruhstorfer, 1908;Papilio helenus fortunius;Fruhstorfer, 1908;白紋鳳蝶;白紋鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio nephelus chaonulus Fruhstorfer, 1902;Papilio nephelus chaonulus;Fruhstorfer, 1902;大白紋鳳蝶;台灣白紋鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio castor formosanus Rothschild, 1896;Papilio castor formosanus;Rothschild, 1896;無尾白紋鳳蝶;無尾白紋鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio thaiwanus Rothschild, 1898 ;Papilio thaiwanus;Rothschild, 1898 ;台灣鳳蝶;台灣鳳蝶;特有種
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio memnon heronus Fruhstorfer, 1929;Papilio memnon heronus;Fruhstorfer, 1929;大鳳蝶;大鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio rumanzovia Eschscholtz, 1821 ;Papilio rumanzovia;Eschscholtz, 1821 ;紅斑大鳳蝶;紅斑大鳳蝶;偶產種
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio aegeus Dovovan, 1805 ;Papilio aegeus;Dovovan, 1805 ;果園鳳蝶;;偶產種
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio bianor thrasymedes Fruhstorfer, 1909;Papilio bianor thrasymedes;Fruhstorfer, 1909;翠鳳蝶;烏鴉鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio bianor kotoensis Sonan, 1927 ;Papilio bianor kotoensis;Sonan, 1927 ;翠鳳蝶(蘭亞);琉璃帶鳳蝶;蘭嶼
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio dialis tatsuta Murayama, 1970;Papilio dialis tatsuta;Murayama, 1970;穹翠鳳蝶;台灣烏鴉鳳蝶;
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio hopponis Matsumura, 1907 ;Papilio hopponis;Matsumura, 1907 ;雙環翠鳳蝶;雙環鳳蝶;特有種
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio maackii Ménétriès, 1859 ;Papilio maackii;Ménétriès, 1859 ;綠帶翠鳳蝶;;疑問種
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio hermosanus Rebel, 1906 ;Papilio hermosanus;Rebel, 1906 ;台灣琉璃翠鳳蝶;琉璃紋鳳蝶;特有種
鳳蝶科 Papilionidae Latreille, 1802;鳳蝶屬 Papilio Linnaeus, 1758;Papilio paris nakaharai Shirôzu, 1960;Papilio paris nakaharai;Shirôzu, 1960;琉璃翠鳳蝶;大琉璃紋鳳蝶;
粉蝶科 Pieridae Duponchel, 1832;豔粉蝶屬 Delias Hübner, 1819;Delias pasithoe curasena Fruhstorfer, 1908;Delias pasithoe curasena;Fruhstorfer, 1908;豔粉蝶;紅肩粉蝶;
粉蝶科 Pieridae Duponchel, 1832;豔粉蝶屬 Delias Hübner, 1819;Delias hyparete luzonensis C. & R. Felder, 1862;Delias hyparete luzonensis;C. & R. Felder, 1862;白豔粉蝶;紅紋粉蝶;
粉蝶科 Pieridae Duponchel, 1832;豔粉蝶屬 Delias Hübner, 1819;Delias lativitta formosana Matsumura, 1909;Delias lativitta formosana;Matsumura, 1909;條斑豔粉蝶;麻斑粉蝶;
粉蝶科 Pieridae Duponchel, 1832;豔粉蝶屬 Delias Hübner, 1819;Delias berinda wilemani Jordan, 1925;Delias berinda wilemani;Jordan, 1925;黃裙豔粉蝶;韋氏麻斑粉蝶;
粉蝶科 Pieridae Duponchel, 1832;絹粉蝶屬 Aporia Hübner, 1819;Aporia agathon moltrechti Oberthr, 1909;Aporia agathon moltrechti;Oberthr, 1909;流星絹粉蝶;高山粉蝶;
粉蝶科 Pieridae Duponchel, 1832;絹粉蝶屬 Aporia Hübner, 1819;Aporia genestieri insularis  Shirôzu, 1959;Aporia genestieri insularis;Shirôzu, 1959;白絹粉蝶;深山粉蝶;
粉蝶科 Pieridae Duponchel, 1832;絹粉蝶屬 Aporia Hübner, 1819;Aporia gigantea cheni Hsu & Chou, 1999;Aporia gigantea cheni;Hsu & Chou, 1999;截脈絹粉蝶;;
粉蝶科 Pieridae Duponchel, 1832;白粉蝶屬 Pieris Schrank, 1801;Pieris rapae crucivora Boisduval, 1836;Pieris rapae crucivora;Boisduval, 1836;白粉蝶;紋白蝶;
粉蝶科 Pieridae Duponchel, 1832;白粉蝶屬 Pieris Schrank, 1801;Pieris canidia Sparrman, 1768;Pieris canidia;Sparrman, 1768;緣點白粉蝶;台灣紋白蝶;
粉蝶科 Pieridae Duponchel, 1832;飛龍白粉蝶屬 Talbotia Bernardi, 1958;Talbotia naganum karumii Ikeda, 1937;Talbotia naganum karumii;Ikeda, 1937;飛龍白粉蝶;輕海紋白蝶;
粉蝶科 Pieridae Duponchel, 1832;脈粉蝶屬 Cepora Billberg, 1820;Cepora nadina eunama Fruhstorfer, 1908;Cepora nadina eunama;Fruhstorfer, 1908;淡褐脈粉蝶;淡紫粉蝶;
粉蝶科 Pieridae Duponchel, 1832;脈粉蝶屬 Cepora Billberg, 1820;Cepora nerissa cibyra Fruhstorfer, 1910;Cepora nerissa cibyra;Fruhstorfer, 1910;黑脈粉蝶;黑脈粉蝶;
粉蝶科 Pieridae Duponchel, 1832;脈粉蝶屬 Cepora Billberg, 1820;Cepora iudith olga Eschscholtz, 1821 ;Cepora iudith olga;Eschscholtz, 1821 ;黃裙脈粉蝶;黃裙粉蝶;定居偶產種
粉蝶科 Pieridae Duponchel, 1832;尖粉蝶屬 Appias Hübner, 1819;Appias olferna peducaea Fruhstorfer, 1910 ;Appias olferna peducaea;Fruhstorfer, 1910 ;鑲邊尖粉蝶;八重山粉蝶;定居偶產種
粉蝶科 Pieridae Duponchel, 1832;尖粉蝶屬 Appias Hübner, 1819;Appias albina semperi Moore, 1905;Appias albina semperi;Moore, 1905;尖粉蝶;尖翅粉蝶;
粉蝶科 Pieridae Duponchel, 1832;尖粉蝶屬 Appias Hübner, 1819;Appias paulina minato Fruhstorfer, 1898;Appias paulina minato;Fruhstorfer, 1898;黃尖粉蝶;蘭嶼粉蝶;
粉蝶科 Pieridae Duponchel, 1832;尖粉蝶屬 Appias Hübner, 1819;Appias nero domitia C. & R. Felder, 1862 ;Appias nero domitia;C. & R. Felder, 1862 ;紅尖粉蝶;紅粉蝶;偶產種
粉蝶科 Pieridae Duponchel, 1832;尖粉蝶屬 Appias Hübner, 1819;Appias lyncida eleonora Boisduval, 1836;Appias lyncida eleonora;Boisduval, 1836;異色尖粉蝶;台灣粉蝶;
粉蝶科 Pieridae Duponchel, 1832;尖粉蝶屬 Appias Hübner, 1819;Appias indra aristoxemus Fruhstorfer, 1908;Appias indra aristoxemus;Fruhstorfer, 1908;雲紋尖粉蝶;雲紋粉蝶;
粉蝶科 Pieridae Duponchel, 1832;南尖粉蝶屬 Saletara Distant, 1885;Saletara panda nathalia C. & R. Felder, 1862 ;Saletara panda nathalia;C. & R. Felder, 1862 ;南尖粉蝶;岩崎粉蝶;偶產種
粉蝶科 Pieridae Duponchel, 1832;鋸粉蝶屬 Prioneris Wallace, 1867;Prioneris thestylis formosana Fruhstorfer, 1908;Prioneris thestylis formosana;Fruhstorfer, 1908;鋸粉蝶;斑粉蝶;
